ID,Name,Country,Events_2025,Total_Heats,Tours
3764,Juan Ignacio Sebastia Roman,Canary Islands,4,7,MJUN
1875,Juan Jose Lucas,Canary Islands,0,0,
6298,Juan Manuel Fernandez,Spain,0,0,
6299,Juan Manuel Florit,Canary Islands,0,0,
13068,Juan Pedro Cáceres Ferrer,Canary Islands,1,1,MQS
2207,Juan Pedro Gonzalez Carrillo,Canary Islands,0,0,
6304,Juan Ricardo Valverde,Spain,0,0,
7171,Juanjo Fernandez,Spain,1,2,MQS
2672,Julen Egiguren,Basque Country,7,16,"MQS, MJUN"
11359,Julen Susperregi,Basque Country,3,4,MJUN
7371,Julia Gamero,Spain,1,1,WJUN
13264,Julia Gonzalez,Canary Islands,3,6,"WJUN, WQS"
4025,Julian Cuello,Canary Islands,1,4,MQS
8428,Julien Elhoro,Basque Country,0,0,
19258,Julieta Rodriguezvillamil,Spain,1,3,WLT
